Event Name,Event_url,Venue Address,Venue City,Venue State,Venue Country,Latitude,Longitude,Time Zone,Date,Time
Washington Capitals vs. Ottawa Senators,http://www.ticketmaster.com/washington-capitals-vs-ottawa-senators-washington-district-of-columbia-11-22-2017/event/150052D69C192543,601 F Street NW,Washington,District Of Columbia,United States Of America,38.897412,-77.020029,America/New_York,2017-11-22,19:00:00
Washington Capitals vs. Tampa Bay Lightning,http://www.ticketmaster.com/washington-capitals-vs-tampa-bay-lightning-washington-district-of-columbia-11-24-2017/event/150052D69C1D2545,601 F Street NW,Washington,District Of Columbia,United States Of America,38.897412,-77.020029,America/New_York,2017-11-24,17:00:00
Florida Panthers vs Chicago Blackhawks,http://www.ticketmaster.com/florida-panthers-vs-chicago-blackhawks-sunrise-florida-11-25-2017/event/0D005307AB21945E,1 Panther Parkway,Sunrise,Florida,United States Of America,26.155362,-80.33023,America/New_York,2017-11-25,19:00:00
Hamilton (Touring),http://www.ticketmaster.com/hamilton-touring-los-angeles-california-11-20-2017/event/0B005250FC00840A,6233 Hollywood Blvd.,Los Angeles,California,United States Of America,34.10200961,-118.32586552,America/Los_Angeles,2017-11-20,20:00:00
Hamilton (Touring),http://www.ticketmaster.com/hamilton-touring-los-angeles-california-11-25-2017/event/0B005250FADE8383,6233 Hollywood Blvd.,Los Angeles,California,United States Of America,34.10200961,-118.32586552,America/Los_Angeles,2017-11-25,20:00:00
Boston Bruins vs. Pittsburgh Penguins,http://www.ticketmaster.com/boston-bruins-vs-pittsburgh-penguins-boston-massachusetts-11-24-2017/event/010052D6D7876545,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-11-24,13:00:00
Chicago Bears v Cleveland Browns,http://www.ticketmaster.com/chicago-bears-v-cleveland-browns-chicago-illinois-12-24-2017/event/0400528B4CB7E2BA,1410 S. Museum Campus Drive,Chicago,Illinois,United States Of America,41.86205404,-87.61682143,America/Chicago,2017-12-24,12:00:00
Dallas Mavericks vs. Oklahoma City Thunder,http://www.ticketmaster.com/dallas-mavericks-vs-oklahoma-city-thunder-dallas-texas-11-25-2017/event/0C00531120C260AF,2500 Victory Avenue,Dallas,Texas,United States Of America,32.79067196,-96.81081803,America/Chicago,2017-11-25,19:30:00
Anaheim Ducks vs. Winnipeg Jets,http://www.ticketmaster.com/anaheim-ducks-vs-winnipeg-jets-anaheim-california-11-24-2017/event/090052DD92A7201A,2695 E. Katella,Anaheim,California,United States Of America,33.80780364,-117.87653112,America/Los_Angeles,2017-11-24,13:00:00
Hamilton (NY),http://www.ticketmaster.com/hamilton-ny-new-york-new-york-03-04-2018/event/0300525BF1559096,226 West 46th Street,New York,New York,United States Of America,40.75920382,-73.98676323,America/New_York,2018-03-04,15:00:00
Washington Wizards vs. Portland Trail Blazers,http://www.ticketmaster.com/washington-wizards-vs-portland-trail-blazers-washington-district-of-columbia-11-25-2017/event/1500530EF9903A62,601 F Street NW,Washington,District Of Columbia,United States Of America,38.897412,-77.020029,America/New_York,2017-11-25,19:00:00
Arizona Cardinals vs. New York Giants,http://www.ticketmaster.com/arizona-cardinals-vs-new-york-giants-glendale-arizona-12-24-2017/event/1900528AA6E94B8D,1 Cardinals Drive,Glendale,Arizona,United States Of America,33.527308,-112.262258,America/Phoenix,2017-12-24,14:25:00
Sacramento Kings vs. Denver Nuggets,http://www.ticketmaster.com/sacramento-kings-vs-denver-nuggets-sacramento-california-11-20-2017/event/1C00530B6F1033B1,500 David J Stern Walk,Sacramento,California,United States Of America,38.580372,-121.500231,America/Los_Angeles,2017-11-20,19:00:00
Nashville Predators vs. Anaheim Ducks,http://www.ticketmaster.com/nashville-predators-vs-anaheim-ducks-nashville-tennessee-12-02-2017/event/1B00530ECD5F4358,501 Broadway,Nashville,Tennessee,United States Of America,36.159949,-86.77857,America/Chicago,2017-12-02,19:00:00
Portland Trail Blazers vs. Houston Rockets,http://www.ticketmaster.com/portland-trail-blazers-vs-houston-rockets-portland-oregon-12-09-2017/event/0F005310EBBF8FD4,"One Center Court, Suite 100",Portland,Oregon,United States Of America,45.53118896,-122.66645813,America/Los_Angeles,2017-12-09,19:00:00
Charlotte Hornets vs. Los Angeles Lakers,http://www.ticketmaster.com/charlotte-hornets-vs-los-angeles-lakers-charlotte-north-carolina-12-09-2017/event/0E0053189F1C4FA8,333 East Trade Street,Charlotte,North Carolina,United States Of America,35.225222,-80.839921,America/New_York,2017-12-09,19:00:00
Chicago Bulls V. Golden State Warriors,http://www.ticketmaster.com/chicago-bulls-v-golden-state-warriors-chicago-illinois-01-17-2018/event/0400530FD9AF4581,1901 W Madison,Chicago,Illinois,United States Of America,41.88124412,-87.67427375,America/Chicago,2018-01-17,19:00:00
Arizona Cardinals vs. Los Angeles Rams,http://www.ticketmaster.com/arizona-cardinals-vs-los-angeles-rams-glendale-arizona-12-03-2017/event/1900528AA6534B07,1 Cardinals Drive,Glendale,Arizona,United States Of America,33.527308,-112.262258,America/Phoenix,2017-12-03,14:25:00
St. Louis Blues vs. Anaheim Ducks,http://www.ticketmaster.com/st-louis-blues-vs-anaheim-ducks-st-louis-missouri-11-29-2017/event/06005304B6276105,1401 Clark Ave,St Louis,Missouri,United States Of America,38.626432,-90.202617,America/Chicago,2017-11-29,20:00:00
Los Angeles Rams vs. San Francisco 49ers,http://www.ticketmaster.com/los-angeles-rams-vs-san-francisco-los-angeles-california-12-31-2017/event/0A00528CC3B14E40,3911 S. Figueroa St,Los Angeles,California,United States Of America,34.014053,-118.287865,America/Los_Angeles,2017-12-31,13:25:00
Chicago Bulls V. Cleveland Cavaliers,http://www.ticketmaster.com/chicago-bulls-v-cleveland-cavaliers-chicago-illinois-12-04-2017/event/0400530FD9B34583,1901 W Madison,Chicago,Illinois,United States Of America,41.88124412,-87.67427375,America/Chicago,2017-12-04,19:00:00
Pittsburgh Penguins vs. Vancouver Canucks,http://www.ticketmaster.com/pittsburgh-penguins-vs-vancouver-canucks-pittsburgh-pennsylvania-11-22-2017/event/160052D68AE712BD,1001 Fifth Avenue,Pittsburgh,Pennsylvania,United States Of America,40.4388401,-79.9908551,America/New_York,2017-11-22,19:00:00
NFL Pro Bowl,http://www.ticketmaster.com/nfl-pro-bowl-orlando-florida-01-28-2018/event/220052CCB8617E95,1 Citrus Bowl Place,Orlando,Florida,United States Of America,28.538255,-81.402071,America/New_York,2018-01-28,15:00:00
Hamilton (Touring),http://www.ticketmaster.com/hamilton-touring-los-angeles-california-11-26-2017/event/0B005250F94582B6,6233 Hollywood Blvd.,Los Angeles,California,United States Of America,34.10200961,-118.32586552,America/Los_Angeles,2017-11-26,13:00:00
New York Rangers vs. Detroit Red Wings,http://www.ticketmaster.com/new-york-rangers-vs-detroit-red-new-york-new-york-11-24-2017/event/3B0052D8126C14D7,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-11-24,19:00:00
Minnesota Vikings vs. Cincinnati Bengals,http://www.ticketmaster.com/minnesota-vikings-vs-cincinnati-bengals-minneapolis-minnesota-12-17-2017/event/0600529498ECC9B7,401 Chicago Ave ,Minneapolis,Minnesota,United States Of America,44.9724996,-93.2556168,America/Chicago,2017-12-17,12:00:00
Hamilton (Touring),http://www.ticketmaster.com/hamilton-touring-los-angeles-california-11-25-2017/event/0B005250F9B382F2,6233 Hollywood Blvd.,Los Angeles,California,United States Of America,34.10200961,-118.32586552,America/Los_Angeles,2017-11-25,14:00:00
Detroit Red Wings vs. Edmonton Oilers,http://www.ticketmaster.com/detroit-red-wings-vs-edmonton-oilers-detroit-michigan-11-22-2017/event/08005310FCEB4E1F,2645 Woodward,Detroit,Michigan,United States Of America,42.341089,-83.055434,America/New_York,2017-11-22,19:00:00
Golden State Warriors vs. Cleveland Cavaliers,http://www.ticketmaster.com/golden-state-warriors-vs-cleveland-cavaliers-oakland-california-12-25-2017/event/1C005309C0EA881A,7000 Coliseum Way,Oakland,California,United States Of America,37.74691455,-122.2008533,America/Los_Angeles,2017-12-25,12:00:00
2018 Bridgestone NHL Winter Classic® - NY Rangers® v Buffalo Sabres®,http://www.ticketmaster.com/2018-bridgestone-nhl-winter-classic-ny-flushing-new-york-01-01-2018/event/1D0052FAF0F03D9D,Roosevelt Avenue,Flushing,New York,United States Of America,40.751935,-73.855571,America/New_York,2018-01-01,13:00:00
Hamilton (Touring),http://www.ticketmaster.com/hamilton-touring-los-angeles-california-11-24-2017/event/0B005250FC07840E,6233 Hollywood Blvd.,Los Angeles,California,United States Of America,34.10200961,-118.32586552,America/Los_Angeles,2017-11-24,14:00:00
New York Knicks vs. Philadelphia 76ers,http://www.ticketmaster.com/new-york-knicks-vs-philadelphia-76ers-new-york-new-york-12-25-2017/event/3B00530FF35A217C,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-12-25,12:00:00
New Jersey Devils vs. New York Rangers,http://www.ticketmaster.com/new-jersey-devils-vs-new-york-newark-new-jersey-12-21-2017/event/020052DAA48C2DDE,25 Lafayette Street,Newark,New Jersey,United States Of America,40.73340555,-74.17121214,America/New_York,2017-12-21,19:00:00
Boston Celtics vs. Detroit Pistons,http://www.ticketmaster.com/boston-celtics-vs-detroit-pistons-boston-massachusetts-11-27-2017/event/0100530EE6B65E9A,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-11-27,19:30:00
The Garth Brooks World Tour Sponsored by Amazon Music Unlimited,http://www.ticketmaster.com/the-garth-brooks-world-tour-sponsored-nashville-tennessee-12-23-2017/event/1B005369A6F0499D,501 Broadway,Nashville,Tennessee,United States Of America,36.159949,-86.77857,America/Chicago,2017-12-23,19:30:00
Boston Celtics vs. Houston Rockets,http://www.ticketmaster.com/boston-celtics-vs-houston-rockets-boston-massachusetts-12-28-2017/event/0100530EE6F75ED7,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-12-28,20:00:00
Indiana Pacers vs. Cleveland Cavaliers,http://www.ticketmaster.com/indiana-pacers-vs-cleveland-cavaliers-indianapolis-indiana-01-12-2018/event/0500530E04C57494,125 S. Pennsylvania St.,Indianapolis,Indiana,United States Of America,39.764064,-86.155507,America/Indianapolis,2018-01-12,19:00:00
New York Knicks vs. Portland Trail Blazers,http://www.ticketmaster.com/new-york-knicks-vs-portland-trail-new-york-new-york-11-27-2017/event/3B00530FF3572165,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-11-27,19:30:00
Chicago Bulls V. New York Knicks,http://www.ticketmaster.com/chicago-bulls-v-new-york-knicks-chicago-illinois-12-09-2017/event/0400530FD9BD458B,1901 W Madison,Chicago,Illinois,United States Of America,41.88124412,-87.67427375,America/Chicago,2017-12-09,19:00:00
Boston Celtics vs. Philadelphia 76ers,http://www.ticketmaster.com/boston-celtics-vs-philadelphia-76ers-boston-massachusetts-11-30-2017/event/0100530EE6B15E98,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-11-30,19:30:00
Seattle Mariners vs. Los Angeles Dodgers,http://www.ticketmaster.com/seattle-mariners-vs-los-angeles-dodgers-seattle-washington-08-18-2018/event/0F005358D10C373A,Mailing Address: P.O. Box 4100 ,Seattle,Washington,United States Of America,47.590333,-122.33285,America/Los_Angeles,2018-08-18,13:10:00
Hamilton (NY),http://www.ticketmaster.com/hamilton-ny-new-york-new-york-11-24-2017/event/0300525BF23993D9,226 West 46th Street,New York,New York,United States Of America,40.75920382,-73.98676323,America/New_York,2017-11-24,14:00:00
Utah Jazz vs. Chicago Bulls,http://www.ticketmaster.com/utah-jazz-vs-chicago-bulls-salt-lake-city-utah-11-22-2017/event/1E00530488311B2E,301 West South Temple,Salt Lake City,Utah,United States Of America,40.767798,-111.901096,America/Denver,2017-11-22,19:00:00
Detroit Pistons vs. Golden State Warriors,http://www.ticketmaster.com/detroit-pistons-vs-golden-state-warriors-detroit-michigan-12-08-2017/event/0800530F7E9E1D2F,2645 Woodward,Detroit,Michigan,United States Of America,42.341089,-83.055434,America/New_York,2017-12-08,19:00:00
New York Knicks vs. Boston Celtics,http://www.ticketmaster.com/new-york-knicks-vs-boston-celtics-new-york-new-york-12-21-2017/event/3B00530FF35A217A,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-12-21,20:00:00
Washington Redskins vs. New York Giants,http://www.ticketmaster.com/washington-redskins-vs-new-york-giants-landover-maryland-11-23-2017/event/1500528AF857A160,1600 FedEX Way,Landover,Maryland,United States Of America,38.907729,-76.864433,America/New_York,2017-11-23,20:30:00
Golden State Warriors vs. Boston Celtics,http://www.ticketmaster.com/golden-state-warriors-vs-boston-celtics-oakland-california-01-27-2018/event/1C005309C10F883E,7000 Coliseum Way,Oakland,California,United States Of America,37.74691455,-122.2008533,America/Los_Angeles,2018-01-27,17:30:00
Boston Celtics vs. Cleveland Cavaliers,http://www.ticketmaster.com/boston-celtics-vs-cleveland-cavaliers-boston-massachusetts-01-03-2018/event/0100530EE6FF5EDD,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2018-01-03,20:00:00
Indiana Pacers vs. Cleveland Cavaliers,http://www.ticketmaster.com/indiana-pacers-vs-cleveland-cavaliers-indianapolis-indiana-12-08-2017/event/0500530E04957454,125 S. Pennsylvania St.,Indianapolis,Indiana,United States Of America,39.764064,-86.155507,America/Indianapolis,2017-12-08,19:00:00
Boston Celtics vs. Phoenix Suns,http://www.ticketmaster.com/boston-celtics-vs-phoenix-suns-boston-massachusetts-12-02-2017/event/0100530EE6BB5E9C,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-12-02,13:00:00
Memphis Grizzlies vs. Cleveland Cavaliers,http://www.ticketmaster.com/memphis-grizzlies-vs-cleveland-cavaliers-memphis-tennessee-02-23-2018/event/1B005304EDDDC1F2,191 Beale Street,Memphis,Tennessee,United States Of America,35.1394709,-90.0514933,America/Chicago,2018-02-23,19:00:00
New York Knicks vs. San Antonio Spurs,http://www.ticketmaster.com/new-york-knicks-vs-san-antonio-new-york-new-york-01-02-2018/event/3B00530FF35B217E,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2018-01-02,19:30:00
Philadelphia Eagles vs. Oakland Raiders,http://www.ticketmaster.com/philadelphia-eagles-vs-oakland-raiders-philadelphia-pennsylvania-12-25-2017/event/020052941A51B798,One Lincoln Financial Way,Philadelphia,Pennsylvania,United States Of America,39.969743,-75.164767,America/New_York,2017-12-25,20:30:00
Monster Jam,http://www.ticketmaster.com/monster-jam-indianapolis-indiana-02-10-2018/event/050052B6D32E5DE4,500 S. Capitol Ave.,Indianapolis,Indiana,United States Of America,39.759709,-86.164644,America/New_York,2018-02-10,19:00:00
Monster Jam,http://www.ticketmaster.com/monster-jam-arlington-texas-02-10-2018/event/0C005318A38049B3,One AT&T Way,Arlington,Texas,United States Of America,32.74790427,-97.09345578,America/Chicago,2018-02-10,19:00:00
Seattle Mariners vs. Los Angeles Dodgers,http://www.ticketmaster.com/seattle-mariners-vs-los-angeles-dodgers-seattle-washington-08-17-2018/event/0F005358CDD735BD,Mailing Address: P.O. Box 4100 ,Seattle,Washington,United States Of America,47.590333,-122.33285,America/Los_Angeles,2018-08-17,19:10:00
Dallas Stars vs. Calgary Flames,http://www.ticketmaster.com/dallas-stars-vs-calgary-flames-dallas-texas-11-24-2017/event/0C0052D477D213FC,2500 Victory Avenue,Dallas,Texas,United States Of America,32.79067196,-96.81081803,America/Chicago,2017-11-24,20:00:00
New York Rangers vs. Vancouver Canucks,http://www.ticketmaster.com/new-york-rangers-vs-vancouver-canucks-new-york-new-york-11-26-2017/event/3B0052D8126C14DB,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-11-26,14:00:00
Golden State Warriors vs. Los Angeles Lakers,http://www.ticketmaster.com/golden-state-warriors-vs-los-angeles-oakland-california-12-22-2017/event/1C005309C0DD880D,7000 Coliseum Way,Oakland,California,United States Of America,37.74691455,-122.2008533,America/Los_Angeles,2017-12-22,19:30:00
Washington Wizards vs. Cleveland Cavaliers,http://www.ticketmaster.com/washington-wizards-vs-cleveland-cavaliers-washington-district-of-columbia-12-17-2017/event/1500530EF9A03A73,601 F Street NW,Washington,District Of Columbia,United States Of America,38.897412,-77.020029,America/New_York,2017-12-17,18:00:00
Hamilton (NY),http://www.ticketmaster.com/hamilton-ny-new-york-new-york-11-25-2017/event/0300525BF23A93DD,226 West 46th Street,New York,New York,United States Of America,40.75920382,-73.98676323,America/New_York,2017-11-25,14:00:00
WWE WrestleMania,http://www.ticketmaster.com/wwe-wrestlemania-new-orleans-louisiana-04-08-2018/event/1B00535480813F4E,1500 Poydras St,New Orleans,Louisiana,United States Of America,29.9516662,-90.0784059,America/Chicago,2018-04-08,16:30:00
New York Knicks vs. Miami Heat,http://www.ticketmaster.com/new-york-knicks-vs-miami-heat-new-york-new-york-11-29-2017/event/3B00530FF3582167,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-11-29,19:30:00
New Jersey Devils vs. Chicago Blackhawks,http://www.ticketmaster.com/new-jersey-devils-vs-chicago-blackhawks-newark-new-jersey-12-23-2017/event/020052DAA4902DE4,25 Lafayette Street,Newark,New Jersey,United States Of America,40.73340555,-74.17121214,America/New_York,2017-12-23,19:00:00
Boston Celtics vs. Milwaukee Bucks,http://www.ticketmaster.com/boston-celtics-vs-milwaukee-bucks-boston-massachusetts-12-04-2017/event/0100530EE6BF5E9F,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-12-04,19:30:00
Boston Celtics vs. Brooklyn Nets,http://www.ticketmaster.com/boston-celtics-vs-brooklyn-nets-boston-massachusetts-12-31-2017/event/0100530EE6FB5EDB,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-12-31,17:30:00
New York Jets vs. Carolina Panthers,http://www.ticketmaster.com/new-york-jets-vs-carolina-panthers-east-rutherford-new-jersey-11-26-2017/event/00005294B821FABB,One MetLife Stadium Drive,East Rutherford,New Jersey,United States Of America,40.81393312,-74.07444122,America/New_York,2017-11-26,13:00:00
Monster Jam,http://www.ticketmaster.com/monster-jam-anaheim-california-01-13-2018/event/0900531CBA5773D7,2000 Gene Autry Way,Anaheim,California,United States Of America,33.80003,-117.883043,America/Los_Angeles,2018-01-13,18:30:00
Nashville Predators vs. Montreal Canadiens,http://www.ticketmaster.com/nashville-predators-vs-montreal-canadiens-nashville-tennessee-11-22-2017/event/1B00530FE48FA2DF,501 Broadway,Nashville,Tennessee,United States Of America,36.159949,-86.77857,America/Chicago,2017-11-22,19:00:00
Boston Celtics vs. Washington Wizards,http://www.ticketmaster.com/boston-celtics-vs-washington-wizards-boston-massachusetts-12-25-2017/event/0100530EE6F25ED4,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-12-25,17:30:00
Billy Joel - In Concert,http://www.ticketmaster.com/billy-joel-in-concert-new-york-new-york-03-28-2018/event/3B005352962A17D0,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2018-03-28,20:00:00
New York Knicks vs. Los Angeles Lakers,http://www.ticketmaster.com/new-york-knicks-vs-los-angeles-new-york-new-york-12-12-2017/event/3B00530FF3592174,7th Ave & 32nd Street,New York,New York,United States Of America,40.7497062,-73.9916006,America/New_York,2017-12-12,19:00:00
Chicago Bulls V. New York Knicks,http://www.ticketmaster.com/chicago-bulls-v-new-york-knicks-chicago-illinois-12-27-2017/event/0400530FD9C2458D,1901 W Madison,Chicago,Illinois,United States Of America,41.88124412,-87.67427375,America/Chicago,2017-12-27,19:00:00
Carolina Panthers vs. Green Bay Packers,http://www.ticketmaster.com/carolina-panthers-vs-green-bay-packers-charlotte-north-carolina-12-17-2017/event/0E00527F9192EB1D,800 South Mint Street ,Charlotte,North Carolina,United States Of America,35.225324,-80.842187,America/New_York,2017-12-17,13:00:00
Boston Celtics vs. Minnesota Timberwolves,http://www.ticketmaster.com/boston-celtics-vs-minnesota-timberwolves-boston-massachusetts-01-05-2018/event/0100530EE7045EE8,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2018-01-05,19:30:00
Boston Celtics vs. Chicago Bulls,http://www.ticketmaster.com/boston-celtics-vs-chicago-bulls-boston-massachusetts-12-23-2017/event/0100530EE7085EF7,100 Legends Way,Boston,Massachusetts,United States Of America,42.365841,-71.060724,America/New_York,2017-12-23,19:30:00
Monster Jam,http://www.ticketmaster.com/monster-jam-syracuse-new-york-04-07-2018/event/00005354EA198392,900 Irving Avenue,Syracuse,New York,United States Of America,43.03626312,-76.1361305,America/New_York,2018-04-07,19:00:00
Monster Jam,http://www.ticketmaster.com/monster-jam-orlando-florida-01-20-2018/event/220052FAD92C9122,1 Citrus Bowl Place,Orlando,Florida,United States Of America,28.538255,-81.402071,America/New_York,2018-01-20,19:00:00
Chicago Bulls V. Boston Celtics,http://www.ticketmaster.com/chicago-bulls-v-boston-celtics-chicago-illinois-12-11-2017/event/0400530FDA0A45FB,1901 W Madison,Chicago,Illinois,United States Of America,41.88124412,-87.67427375,America/Chicago,2017-12-11,19:00:00
Carolina Panthers vs. Minnesota Vikings,http://www.ticketmaster.com/carolina-panthers-vs-minnesota-vikings-charlotte-north-carolina-12-10-2017/event/0E00527F9179EA6F,800 South Mint Street ,Charlotte,North Carolina,United States Of America,35.225324,-80.842187,America/New_York,2017-12-10,13:00:00
Carolina Panthers vs. Minnesota Vikings,http://www.ticketmaster.com/carolina-panthers-vs-minnesota-vikings-charlotte-north-carolina-12-10-2017/event/0E00527F9179EA6F,800 South Mint Street ,Charlotte,North Carolina,United States Of America,35.225324,-80.842187,America/New_York,2017-12-10,13:00:00
Tennessee Titans vs. Los Angeles Rams,http://www.ticketmaster.com/tennessee-titans-vs-los-angeles-rams-nashville-tennessee-12-24-2017/event/1B0052868A0AB0BB,One Titans Way,Nashville,Tennessee,United States Of America,36.166208,-86.771413,America/Chicago,2017-12-24,12:00:00
